shap_rank,feature,mean_abs_shap,mean_signed_shap,max_abs_shap
29,ct_ak47,0.003078596936566016,-9.878103464821115e-05,0.021217835377723576
30,t_ak47,0.0028649247224197755,-4.8017410804649735e-05,0.027608743643867686
31,ct_rifles,0.0026480359011499207,-0.00025689607368379355,0.017949613862462133
32,ct_score,0.0025713461881601007,0.00013232824289700483,0.04082522084135739
33,first_kill_weapon_M4A1,0.0015146660178551059,-0.001513517395453102,0.041674077755853633
34,ct_defuse_kits,0.001453718167157804,-0.0001573274606733518,0.010507762846706948
35,first_kill_weapon_USP-S,0.0014458364036800454,-0.0004957518480031842,0.011837045140875664
36,ct_smgs,0.0013384033617866876,0.00034425543815242614,0.0962544670706722
37,round_num,0.0012414391412169281,0.00011271499335095518,0.10985273259009161
38,map_name_de_ancient,0.00115653492369414,-1.9649037883383994e-07,0.009897079326027475
39,t_helmets,0.0011247259971400884,-0.0003183262512020992,0.023204917812303716
40,map_name_de_train,0.0010862227774385764,-1.4176701446030482e-06,0.03476775954372906
41,map_name_de_mirage,0.0008893949922407493,0.0001305862720825101,0.002240957764206626
42,map_name_de_nuke,0.0006893203987581064,-2.1693412756488087e-05,0.007742744599275977
43,first_kill_weapon_AWP,0.0006103857828986249,5.868732218629784e-05,0.020635727495976287
44,first_kill_weapon_Galil AR,0.0005962030758905932,-4.9483886758432045e-05,0.0128752338831263
45,first_kill_weapon_Desert Eagle,0.0005453390643860084,7.936014939015746e-06,0.020876418269703902
46,awp_diff_ct,0.0005088684551312662,-1.2641473215657303e-05,0.012986890303961158
47,t_smgs,0.0002218548847212706,1.5057569456077113e-05,0.007546710741559574
48,t_m4a4,0.0001762649742551176,-8.46227365414956e-07,0.006322721830779084
49,first_kill_weapon_P250,0.00015021903006926497,9.617776511905855e-06,0.05673248014278505
50,t_m4a1_s,0.000131001335234246,2.2864039188968683e-05,0.02550144286480287
51,first_kill_weapon_Incendiary Grenade,0.00012795801450976162,-3.249205898235682e-06,0.014445436997501556
