source_feature,feature_group,encoded_column_count,gain_normalized,split_count,mean_abs_shap,grouped_auc_decrease_mean,grouped_auc_decrease_std,source_gain_rank,source_shap_rank,source_permutation_rank,mean_rank
ct_score,purchase_end,1,0.0007114513308244143,15,0.0025713461881601007,1.0688057231744707e-05,8.486874084658178e-05,23,30,25,26.0
t_rifles,purchase_end,1,0.00035171299029282367,5,0.004050958716042621,1.568619402778637e-05,6.533358903451609e-05,30,24,24,26.0
ct_ak47,purchase_end,1,0.00016783296662332934,3,0.003078596936566016,4.3098120746687395e-05,4.88711481243674e-05,33,27,20,26.666666666666668
ct_rifles,purchase_end,1,0.00035518165597920904,4,0.0026480359011499207,2.4881151570699257e-05,8.176932367399655e-05,29,29,22,26.666666666666668
first_kill_headshot,first_kill_event,1,0.0004334928788273337,7,0.003944406097209401,9.223781859968306e-08,0.00011813563419903567,28,25,27,26.666666666666668
t_ak47,purchase_end,1,0.00022879964683792083,5,0.0028649247224197755,3.038659636914742e-05,4.6179292393674234e-05,31,28,21,26.666666666666668
ct_m4a4,purchase_end,1,0.0006248239047934325,13,0.0042362468604100955,-0.0001330299938939017,0.000138927533505739,24,23,38,28.333333333333332
round_num,purchase_end,1,0.00043940797725654116,18,0.0012414391412169281,-1.9877249910987825e-05,3.3652949476004996e-05,27,33,37,32.333333333333336
ct_defuse_kits,purchase_end,1,0.0002253060763805334,3,0.001453718167157804,-1.6141618257198286e-05,2.1832688742907298e-05,32,31,35,32.666666666666664
awp_diff_ct,purchase_end,1,0.00014544388248932558,3,0.0005088684551312662,-7.275257943079038e-06,2.168869814423845e-05,34,35,31,33.333333333333336
t_m4a1_s,purchase_end,1,4.4126969381693485e-05,1,0.000131001335234246,2.4039481475612858e-06,1.642900275663596e-05,37,38,26,33.666666666666664
t_smgs,purchase_end,1,7.439338687545222e-05,1,0.0002218548847212706,-4.219880201544734e-06,1.3454969492747071e-05,36,36,30,34.0
t_helmets,purchase_end,1,0.00012722445676557981,4,0.0011247259971400884,-1.9785012092399247e-05,9.827792407092241e-06,35,34,36,35.0
t_m4a4,purchase_end,1,3.184728318878184e-05,1,0.0001762649742551176,-8.105398310587208e-06,1.2760970739638343e-05,38,37,32,35.666666666666664
ct_awp,purchase_end,1,0.0,0,0.0,0.0,0.0,40,40,28,36.0
t_awp,purchase_end,1,1.849115395934806e-05,2,8.57159353752422e-05,-1.5772666982716288e-05,8.325836363542527e-06,39,39,34,37.333333333333336
