feature,lightgbm_gain_rank,lightgbm_permutation_rank,lightgbm_shap_rank,lightgbm_mean_rank,xgboost_gain_rank,xgboost_permutation_rank,xgboost_shap_rank,xgboost_mean_rank,gain_rank_difference_lgbm_minus_xgb,permutation_rank_difference_lgbm_minus_xgb,shap_rank_difference_lgbm_minus_xgb,mean_rank_difference_lgbm_minus_xgb
first_kill_weapon_MAC-10,64,43,64,57.0,61,45,61,55.666666666666664,3,-2,3,1.3333333333333357
first_kill_weapon_MAG-7,65,44,65,58.0,62,46,62,56.666666666666664,3,-2,3,1.3333333333333357
t_awp,52,70,52,58.0,80,64,80,74.66666666666667,-28,6,-28,-16.66666666666667
first_kill_weapon_Incendiary Grenade,50,76,51,59.0,58,42,58,52.666666666666664,-8,34,-7,6.333333333333336
first_kill_weapon_MP5-SD,66,45,66,59.0,63,47,63,57.666666666666664,3,-2,3,1.3333333333333357
first_kill_weapon_MP7,67,46,67,60.0,64,48,64,58.666666666666664,3,-2,3,1.3333333333333357
first_kill_weapon_MP9,68,47,68,61.0,65,49,65,59.666666666666664,3,-2,3,1.3333333333333357
first_kill_weapon_Molotov,69,48,69,62.0,43,70,46,53.0,26,-22,23,9.0
first_kill_weapon_Negev,70,49,70,63.0,66,50,66,60.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_Nova,71,50,71,64.0,67,51,67,61.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_P2000,72,51,72,65.0,68,52,68,62.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_P90,73,52,73,66.0,69,53,69,63.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_PP-Bizon,74,53,74,67.0,70,54,70,64.66666666666667,4,-1,4,2.3333333333333286
first_kill_weapon_SCAR-20,75,54,75,68.0,71,55,71,65.66666666666667,4,-1,4,2.3333333333333286
first_kill_weapon_SG 553,76,55,76,69.0,72,56,72,66.66666666666667,4,-1,4,2.3333333333333286
first_kill_weapon_SSG 08,77,56,77,70.0,73,57,73,67.66666666666667,4,-1,4,2.3333333333333286
first_kill_weapon_Tec-9,78,57,78,71.0,74,58,74,68.66666666666667,4,-1,4,2.3333333333333286
first_kill_weapon_UMP-45,79,58,79,72.0,42,23,44,36.333333333333336,37,35,35,35.666666666666664
first_kill_weapon_XM1014,80,59,80,73.0,76,60,76,70.66666666666667,4,-1,4,2.3333333333333286
first_kill_weapon_Zeus x27,81,60,81,74.0,77,61,77,71.66666666666667,4,-1,4,2.3333333333333286
map_name_de_vertigo,82,61,82,75.0,79,63,79,73.66666666666667,3,-2,3,1.3333333333333286
