false_positive_rate,true_positive_rate,threshold
0.06350806451612903,0.28884826325411334,0.63606846
0.06451612903225806,0.28884826325411334,0.6355538
0.06451612903225806,0.2897623400365631,0.6348817
0.06502016129032258,0.2897623400365631,0.6347999
0.06502016129032258,0.29021937842778794,0.6345336
0.0655241935483871,0.29021937842778794,0.6345248
0.0655241935483871,0.2906764168190128,0.6344741
0.06602822580645161,0.2906764168190128,0.63442993
0.06602822580645161,0.2929616087751371,0.63264346
0.06653225806451613,0.2929616087751371,0.6325489
0.06653225806451613,0.29387568555758686,0.63241386
0.06754032258064516,0.29387568555758686,0.6321798
0.06754032258064516,0.2943327239488117,0.6321386
0.06854838709677419,0.2943327239488117,0.63203174
0.06854838709677419,0.29570383912248627,0.63105226
0.0690524193548387,0.29570383912248627,0.6309483
0.0690524193548387,0.29890310786106034,0.6301471
0.06955645161290322,0.29890310786106034,0.6292593
0.06955645161290322,0.2993601462522852,0.62915295
0.07006048387096774,0.2993601462522852,0.6288425
0.07006048387096774,0.3007312614259598,0.6281755
0.07056451612903226,0.3007312614259598,0.6281618
0.07056451612903226,0.30210237659963435,0.6274861
0.07207661290322581,0.30210237659963435,0.62702954
0.07207661290322581,0.30255941499085925,0.62683946
0.07207661290322581,0.30438756855575866,0.62620836
0.07207661290322581,0.3053016453382084,0.62602365
0.07258064516129033,0.30575868372943327,0.6259329
0.07308467741935484,0.30575868372943327,0.62565196
0.07308467741935484,0.306672760511883,0.6256195
0.07358870967741936,0.306672760511883,0.62553394
0.07358870967741936,0.3075868372943327,0.6251059
0.07409274193548387,0.3075868372943327,0.6249222
0.07409274193548387,0.30850091407678243,0.6246365
0.07459677419354839,0.30850091407678243,0.6243737
0.07459677419354839,0.3094149908592322,0.6243247
0.07459677419354839,0.30987202925045704,0.6242606
0.0751008064516129,0.30987202925045704,0.6241721
0.0751008064516129,0.31124314442413165,0.6237254
0.07560483870967742,0.31124314442413165,0.6236514
0.07560483870967742,0.31215722120658135,0.6233412
0.07610887096774194,0.3126142595978062,0.62329644
0.07711693548387097,0.3126142595978062,0.62311256
0.07711693548387097,0.3139853747714808,0.6228776
0.07762096774193548,0.3139853747714808,0.6228101
0.07762096774193548,0.3162705667276051,0.6221493
0.078125,0.3162705667276051,0.62210834
0.078125,0.31672760511882997,0.62194705
0.08014112903225806,0.31672760511882997,0.62147164
0.08014112903225806,0.3176416819012797,0.621203
0.0811491935483871,0.3176416819012797,0.6208201
0.0811491935483871,0.3180987202925046,0.62060624
0.08165322580645161,0.3180987202925046,0.6205736
0.08165322580645161,0.31855575868372943,0.6204676
0.08215725806451613,0.31855575868372943,0.6204481
0.08215725806451613,0.3194698354661792,0.6202063
0.08266129032258064,0.3194698354661792,0.6201044
0.08266129032258064,0.3203839122486289,0.62003046
0.08316532258064516,0.3203839122486289,0.6198103
0.08316532258064516,0.3235831809872029,0.6192555
0.08366935483870967,0.3235831809872029,0.618989
0.08366935483870967,0.32449725776965266,0.6189844
0.08568548387096774,0.32449725776965266,0.61819774
0.08568548387096774,0.32541133455210236,0.6179848
0.08618951612903226,0.32541133455210236,0.6178462
0.08618951612903226,0.32586837294332727,0.61781937
0.0871975806451613,0.32586837294332727,0.61760396
0.0871975806451613,0.3272394881170018,0.61732614
0.08820564516129033,0.3272394881170018,0.6171831
0.08820564516129033,0.329981718464351,0.6160814
0.08971774193548387,0.329981718464351,0.6156199
0.08971774193548387,0.33226691042047535,0.6149249
0.09022177419354839,0.33226691042047535,0.6148025
0.09022177419354839,0.33455210237659966,0.61397225
0.09122983870967742,0.33455210237659966,0.61388427
0.09122983870967742,0.33546617915904936,0.6138209
0.09274193548387097,0.33546617915904936,0.61361414
0.09274193548387097,0.3359232175502742,0.61358666
0.09375,0.3359232175502742,0.6135124
0.09375,0.3382084095063985,0.6132504
0.09526209677419355,0.3382084095063985,0.61270374
0.09526209677419355,0.33957952468007313,0.61222607
0.09576612903225806,0.33957952468007313,0.6122112
0.09576612903225806,0.3423217550274223,0.6115679
0.09627016129032258,0.3423217550274223,0.6115131
0.09627016129032258,0.34277879341864714,0.61131096
0.09727822580645161,0.34277879341864714,0.6111016
0.09727822580645161,0.3446069469835466,0.61082417
0.09778225806451613,0.3446069469835466,0.6106597
0.09778225806451613,0.34506398537477145,0.6105907
0.09879032258064516,0.34506398537477145,0.610257
0.09879032258064516,0.34552102376599636,0.61023265
0.09929435483870967,0.34552102376599636,0.6101881
0.09929435483870967,0.34643510054844606,0.61003363
0.09979838709677419,0.34643510054844606,0.610015
0.09979838709677419,0.34780621572212067,0.60939485
0.1003024193548387,0.3482632541133455,0.60935456
0.10080645161290322,0.3482632541133455,0.60924333
0.10080645161290322,0.34963436928702013,0.6090396
0.10181451612903226,0.34963436928702013,0.6088262
0.10181451612903226,0.35054844606946983,0.60850817
0.1028225806451613,0.35054844606946983,0.60849893
0.1028225806451613,0.35283363802559414,0.6080381
0.10332661290322581,0.35283363802559414,0.6079382
0.10332661290322581,0.3555758683729433,0.60751945
0.10433467741935484,0.35648994515539306,0.60737216
0.10534274193548387,0.35648994515539306,0.6072224
0.10534274193548387,0.3583180987202925,0.60639995
0.1063508064516129,0.3583180987202925,0.60627794
0.1063508064516129,0.3587751371115174,0.60627663
0.10685483870967742,0.3587751371115174,0.6062174
0.10685483870967742,0.3596892138939671,0.6061924
0.10836693548387097,0.3596892138939671,0.60615027
0.10836693548387097,0.3610603290676417,0.6060397
0.10887096774193548,0.3610603290676417,0.6059738
0.10887096774193548,0.36151736745886653,0.60576904
0.109375,0.36151736745886653,0.6057279
0.109375,0.3619744058500914,0.6055457
0.10987903225806452,0.3619744058500914,0.6055256
0.10987903225806452,0.3624314442413163,0.6055
0.11038306451612903,0.36288848263254114,0.6054531
0.11088709677419355,0.36288848263254114,0.6053834
0.11088709677419355,0.36380255941499084,0.60518044
0.11139112903225806,0.36380255941499084,0.6051496
0.11139112903225806,0.3642595978062157,0.60511416
0.11189516129032258,0.3642595978062157,0.604925
0.11189516129032258,0.36517367458866545,0.60469717
0.1123991935483871,0.36517367458866545,0.60459715
0.1123991935483871,0.36608775137111516,0.6044636
0.11340725806451613,0.36608775137111516,0.60441476
0.11340725806451613,0.36654478976234006,0.60435444
0.11441532258064516,0.36654478976234006,0.6040779
0.11441532258064516,0.3692870201096892,0.6034737
0.11542338709677419,0.3692870201096892,0.6033526
0.11542338709677419,0.3706581352833638,0.6032117
0.11643145161290322,0.3706581352833638,0.6031665
0.11693548387096774,0.3711151736745887,0.60311687
0.11693548387096774,0.37157221206581353,0.60290015
0.11794354838709678,0.37157221206581353,0.6028442
0.11794354838709678,0.37248628884826324,0.6026402
0.1184475806451613,0.37248628884826324,0.60263073
0.1184475806451613,0.373400365630713,0.6025056
0.11895161290322581,0.373400365630713,0.6025036
0.11895161290322581,0.3743144424131627,0.6024705
0.11995967741935484,0.3743144424131627,0.6019146
0.11995967741935484,0.37522851919561245,0.6018709
0.12046370967741936,0.37522851919561245,0.6018686
0.12046370967741936,0.376599634369287,0.60170174
0.12096774193548387,0.37705667276051186,0.6015324
0.12096774193548387,0.37751371115173676,0.60132456
0.12147177419354839,0.37751371115173676,0.60126156
0.12147177419354839,0.37842778793418647,0.6012491
0.12147177419354839,0.3788848263254113,0.60119337
0.12247983870967742,0.3788848263254113,0.6011364
0.12247983870967742,0.3797989031078611,0.60102797
0.12348790322580645,0.3797989031078611,0.60093164
0.12348790322580645,0.3807129798903108,0.60087055
0.12399193548387097,0.3807129798903108,0.6008083
0.12399193548387097,0.3811700182815356,0.6007384
0.125,0.3811700182815356,0.60061425
0.125,0.38391224862888484,0.60020167
0.12651209677419356,0.38391224862888484,0.6000963
0.12651209677419356,0.38482632541133455,0.59997344
0.1280241935483871,0.38482632541133455,0.5996794
0.1280241935483871,0.3852833638025594,0.5996527
0.12903225806451613,0.3852833638025594,0.5995798
0.12903225806451613,0.3857404021937843,0.5994926
0.13004032258064516,0.3857404021937843,0.5994518
0.13004032258064516,0.38619744058500916,0.5994171
0.1305443548387097,0.38619744058500916,0.5993994
0.1305443548387097,0.386654478976234,0.5993499
0.13256048387096775,0.386654478976234,0.59912086
0.13256048387096775,0.38711151736745886,0.5990736
0.13306451612903225,0.38711151736745886,0.59902585
0.13306451612903225,0.3875685557586837,0.5988063
0.13407258064516128,0.3875685557586837,0.5986635
0.13407258064516128,0.3889396709323583,0.59849256
0.1345766129032258,0.3889396709323583,0.59848684
0.1345766129032258,0.389853747714808,0.5983909
0.13659274193548387,0.389853747714808,0.5980761
0.13659274193548387,0.3903107861060329,0.5980366
0.13961693548387097,0.3903107861060329,0.5977187
0.13961693548387097,0.3907678244972578,0.59762067
0.14012096774193547,0.3907678244972578,0.597594
0.14012096774193547,0.3912248628884826,0.5975924
0.14112903225806453,0.3912248628884826,0.597521
0.14112903225806453,0.3921389396709324,0.5974124
0.14213709677419356,0.3921389396709324,0.59739035
0.14213709677419356,0.39259597806215724,0.5973539
0.14213709677419356,0.39351005484460694,0.59728646
0.14213709677419356,0.3939670932358318,0.59720975
0.14264112903225806,0.3939670932358318,0.5971902
0.1431451612903226,0.3944241316270567,0.5970684
0.1431451612903226,0.39488117001828155,0.5970383
0.14415322580645162,0.39488117001828155,0.5969891
0.14465725806451613,0.39488117001828155,0.59687304
0.14465725806451613,0.3953382084095064,0.5968423
0.14516129032258066,0.3953382084095064,0.5968216
0.14516129032258066,0.39579524680073125,0.596729
0.14566532258064516,0.39579524680073125,0.59669405
0.14566532258064516,0.3962522851919561,0.5966499
0.1461693548387097,0.3962522851919561,0.59655
0.1461693548387097,0.396709323583181,0.5965224
0.1466733870967742,0.396709323583181,0.5964815
0.1466733870967742,0.399908592321755,0.5962136
0.14717741935483872,0.399908592321755,0.59617
0.14717741935483872,0.4017367458866545,0.5959232
0.14868951612903225,0.4017367458866545,0.5957987
0.14868951612903225,0.40219378427787933,0.59578943
0.1502016129032258,0.40219378427787933,0.5956966
0.1502016129032258,0.4031078610603291,0.59563047
0.1507056451612903,0.4031078610603291,0.5956258
0.1507056451612903,0.4040219378427788,0.59556687
0.15171370967741934,0.4040219378427788,0.59550333
0.15171370967741934,0.40493601462522855,0.59544754
0.15221774193548387,0.40493601462522855,0.5951616
0.15221774193548387,0.4053930530164534,0.5950416
0.15272177419354838,0.4053930530164534,0.59496284
0.15272177419354838,0.40676416819012795,0.59495574
0.1532258064516129,0.40676416819012795,0.59492487
0.1532258064516129,0.40950639853747717,0.594617
0.15473790322580644,0.40950639853747717,0.5945438
0.15473790322580644,0.41042047531992687,0.5944672
0.15524193548387097,0.41042047531992687,0.5943634
