phase_order,phase,candidate_order,candidate_id,candidate_label,is_incumbent,changed_parameter,parameter_value,best_iteration,best_tree_count,elapsed_seconds,train_accuracy,train_log_loss,train_brier_score,train_ece10,train_auc,val_accuracy,val_log_loss,val_brier_score,val_ece10,val_auc,selected
3,min_child_samples,3,min_child_samples_80,80,False,min_child_samples,80,127,127,0.2103041000000303,0.6696935698758852,0.5799285585287018,0.20095054421427747,0.015524458497812636,0.7428787642458599,0.6523866348448687,0.5957208547698776,0.20751166379296515,0.009570812022588401,0.7178462905754799,False
3,min_child_samples,4,min_child_samples_160,160,False,min_child_samples,160,128,128,0.23365180000018881,0.6691325993969567,0.5803213848889165,0.2011038919751758,0.01590636899316724,0.7425591340714279,0.6535799522673031,0.5958114688703611,0.20752011845081214,0.008260310472181648,0.7173489713368271,False
4,reg_lambda,0,reg_lambda_0.0,0.0,False,reg_lambda,0.0,129,129,0.21457459999965067,0.6709908141084076,0.5789031196819329,0.20060707348735995,0.01735171598861539,0.7435263242647341,0.6515513126491647,0.5956346165211257,0.207454930540692,0.009849957464937132,0.7183735760458816,False
4,reg_lambda,1,reg_lambda_1.0,1.0,True,reg_lambda,1.0,115,115,0.21344090000002325,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
4,reg_lambda,2,reg_lambda_3.0,3.0,False,reg_lambda,3.0,130,130,0.22949449999987337,0.670429843629479,0.5796173456932333,0.20079883833617337,0.016604396800301208,0.7432309367551968,0.6532219570405728,0.5957242480202105,0.20751616408275533,0.008992039359853262,0.7174733011464902,False
4,reg_lambda,3,reg_lambda_10.0,10.0,False,reg_lambda,10.0,139,139,0.2266500000000633,0.6702545403548138,0.5797406068329561,0.20075784232303753,0.017693330085492343,0.7445226338911385,0.65381861575179,0.5959766046235665,0.20755982398688141,0.01294790687106377,0.7174686931586091,False
5,reg_alpha,0,reg_alpha_0.0,0.0,True,reg_alpha,0.0,115,115,0.2232760999995662,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
5,reg_alpha,1,reg_alpha_0.1,0.1,False,reg_alpha,0.1,115,115,0.20850780000000668,0.6690624780870906,0.5807317448795533,0.20122979038960348,0.01558814360862824,0.7411198831184544,0.6529832935560859,0.5956987708358374,0.2074283935391252,0.006998444129108342,0.7185747533553021,False
5,reg_alpha,2,reg_alpha_0.5,0.5,False,reg_alpha,0.5,125,125,0.22118570000020554,0.6700091157702825,0.5797628627404939,0.200847310751345,0.015240960071315408,0.7429761410963913,0.6510739856801909,0.5956673362197504,0.20744771007588295,0.012035567546448836,0.7179391658591716,False
5,reg_alpha,3,reg_alpha_1.0,1.0,False,reg_alpha,1.0,126,126,0.21727950000013152,0.6699740551153496,0.579926537257067,0.20088560530419633,0.016297099496771408,0.7431694904665398,0.6521479713603818,0.5957694186136702,0.20750105850887826,0.00975883538069282,0.7177386182126915,False
