phase_order,phase,candidate_order,candidate_id,candidate_label,is_incumbent,changed_parameters,parameter_values,best_iteration,best_tree_count,elapsed_seconds,train_accuracy,train_log_loss,train_brier_score,train_ece10,train_auc,val_accuracy,val_log_loss,val_brier_score,val_ece10,val_auc,selected
6,subsample,2,subsample_0.85,0.85,True,subsample,"{""subsample"": 0.85}",428.0,429,0.6488174000005529,0.7509214082628383,0.515785321009298,0.17265101097764027,0.011016175259338689,0.8166888741607021,0.7436663479923518,0.5279350077983861,0.17754303727722043,0.010562393217223812,0.8029763796852707,False
6,subsample,3,subsample_0.9,0.9,False,subsample,"{""subsample"": 0.9}",408.0,409,0.61727830000018,0.7502193829197235,0.5161161435718142,0.1727772577694808,0.01142570040091603,0.8161697507710125,0.7434273422562141,0.5277960858946873,0.1774675412367743,0.011932839019233839,0.8033236207281457,True
6,subsample,4,subsample_1.0,1.0,False,subsample,"{""subsample"": 1.0}",320.0,321,0.44761950000065553,0.7503246867211907,0.5176221475803608,0.17335515056461226,0.010242526989192589,0.8143804007358637,0.7436663479923518,0.5280357355723567,0.1775806666172883,0.010037007628219765,0.8030185538970924,False
7,colsample_bytree,0,colsample_bytree_0.6,0.6,False,colsample_bytree,"{""colsample_bytree"": 0.6}",335.0,336,0.48916149999968184,0.7500438765839447,0.5174299848865906,0.17325726088743268,0.0092105856959018,0.8147547741518516,0.7434273422562141,0.5278871902446385,0.17750975581035144,0.010190525745601716,0.8033432580058081,False
7,colsample_bytree,1,colsample_bytree_0.7,0.7,False,colsample_bytree,"{""colsample_bytree"": 0.7}",356.0,357,0.5508998999994219,0.7502544841868791,0.5170089162154343,0.17310885498763082,0.009375624243583089,0.815155006153072,0.7436663479923518,0.5279443248412083,0.17753566826087874,0.009596298327317785,0.8033241949175509,False
7,colsample_bytree,2,colsample_bytree_0.8,0.8,False,colsample_bytree,"{""colsample_bytree"": 0.8}",436.0,437,0.734835799999928,0.7506405981255924,0.5157367209177544,0.17265134099442653,0.011916752001248738,0.8165597252520105,0.7435468451242829,0.5278927503467414,0.17749876758054367,0.01069102018388668,0.8032061415758146,False
7,colsample_bytree,3,colsample_bytree_0.85,0.85,True,colsample_bytree,"{""colsample_bytree"": 0.85}",408.0,409,0.6571827999996458,0.7502193829197235,0.5161161435718142,0.1727772577694808,0.01142570040091603,0.8161697507710125,0.7434273422562141,0.5277960858946873,0.1774675412367743,0.011932839019233839,0.8033236207281457,True
7,colsample_bytree,4,colsample_bytree_0.9,0.9,False,colsample_bytree,"{""colsample_bytree"": 0.9}",351.0,352,0.5628635000011855,0.7499736740496332,0.5169005352974405,0.17306493072410598,0.010926015003145275,0.8152669424909136,0.7435468451242829,0.527767924879307,0.17746561471038932,0.01159507490184344,0.8033326929207499,False
7,colsample_bytree,5,colsample_bytree_1.0,1.0,False,colsample_bytree,"{""colsample_bytree"": 1.0}",351.0,352,0.6138200000004872,0.7502544841868791,0.5168834002190941,0.17305690447038538,0.011352417529039366,0.8153375433315049,0.7446223709369025,0.5278484076643404,0.17749183307053068,0.011345900711603445,0.8033148930491847,False
8,learning_rate,0,learning_rate_0.01,0.01,False,learning_rate,"{""learning_rate"": 0.01}",950.0,951,1.379324200001065,0.7500438765839447,0.5175327501915762,0.1732983843060174,0.010120436955988566,0.8146422915408439,0.7441443594646272,0.5279047545941458,0.17751740703919178,0.011084693104935109,0.8032627566511803,False
8,learning_rate,1,learning_rate_0.02,0.02,False,learning_rate,"{""learning_rate"": 0.02}",572.0,573,0.8303571000014927,0.7503246867211907,0.5165514719621006,0.1729574212703284,0.010956127424240413,0.8156923229222508,0.7435468451242829,0.5279167545815034,0.17753500667498492,0.011732873403227715,0.8030710348087398,False
8,learning_rate,2,learning_rate_0.03,0.03,True,learning_rate,"{""learning_rate"": 0.03}",408.0,409,0.5766461999992316,0.7502193829197235,0.5161161435718142,0.1727772577694808,0.01142570040091603,0.8161697507710125,0.7434273422562141,0.5277960858946873,0.1774675412367743,0.011932839019233839,0.8033236207281457,True
8,learning_rate,3,learning_rate_0.05,0.05,False,learning_rate,"{""learning_rate"": 0.05}",200.0,201,0.3319334000007075,0.7499385727824774,0.5171751337614883,0.17315481365607013,0.010145346337880374,0.8149723969659035,0.7429493307839388,0.527995333027306,0.17756203459216438,0.010508966561737162,0.803404409177476,False
8,learning_rate,4,learning_rate_0.1,0.1,False,learning_rate,"{""learning_rate"": 0.1}",157.0,158,0.2745231999997486,0.7504650917898136,0.5147791073733787,0.17227335475229155,0.01300250259987614,0.817649031190996,0.7433078393881453,0.5278397812969848,0.1775154640193186,0.012835276181129358,0.8028700685168734,False
